rating,date,variation,verified_reviews,feedback,review_tokens,score
5,31-Jul-18,Charcoal Fabric ,Love my Echo!,1,",Echo",0.6696
5,31-Jul-18,Charcoal Fabric ,Loved it!,1,,0.636
4,31-Jul-18,Walnut Finish ,"Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.",1,",playing,,game,,,,,answer,,question,correctly,,Alexa,says,,got,,wrong,,answers,,,,,.,I,like,,able,,turn,lights,,,,,away,,home",-0.128
5,31-Jul-18,Charcoal Fabric ,"I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.",1,",,,lot,,fun,,,thing,.,My,4,yr,old,learns,,dinosaurs,,,,control,,lights,,play,games,like,categories,.,Has,nice,sound,,playing,music,,well",0.9169
5,31-Jul-18,Charcoal Fabric ,Music,1,,0.0
5,31-Jul-18,Heather Gray Fabric ,"I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.",1,"received,,echo,,,gift,.,I,needed,another,Bluetooth,,something,,play,music,easily,accessible,,,,found,,smart,speaker,.,Can,’,,wait,,see,,else,,,",0.8697
3,31-Jul-18,Sandstone Fabric ,"Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.",1,",,cellphone,,,I,,,use,many,,,features,.,I,,,iPad,,,,see,,,,use,.,It,IS,,great,alarm,.,If,u,r,almost,deaf,,,,,hear,,alarm,,,bedroom,,,,,living,room,,,,,,reason,enough,,keep,her.It,,fun,,ask,random,questions,,hear,,response,.,She,,,seem,,,,smartbon,politics,yet",0.7096
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1,"think,,,,5th,one,I,'ve,purchased,.,I,'m,working,,getting,one,,every,room,,,house,.,I,really,like,,features,,offer,specifily,playing,music,,,Echos,,controlling,,lights,throughout,,house",0.5563
5,30-Jul-18,Heather Gray Fabric ,looks great,1,,0.6249
5,30-Jul-18,Heather Gray Fabric ,"Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!",1,",!,I,’,,listened,,songs,I,,’,,heard,since,childhood,!,I,get,,news,,,weather,,,information,!,It,’,,great",0.8877
5,30-Jul-18,Charcoal Fabric ,"I sent it to my 85 year old Dad, and he talks to it constantly.",1,"sent,,,,85,year,old,Dad,,,,,talks,,,constantly",0.0
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1,"love,,!,Learning,knew,things,,,eveyday,!,Still,figuring,,,everything,works,,,far,,'s,,easy,,use,,understand,.,She,,make,,laugh,",0.9175
